User_ID,Evaluation_ID,Question ID,Question Text,Value
59392,4219,4,Overall,3
59392,4219,10,Feel intolerant of anything that kept you from what you were doing?,2
59392,4219,21,Feel conflicts were resolved in a fair way?,3
59224,4224,5,Feel you had nothing to look forward to?,0
59373,4235,1,Individual,3
59448,4204,18,Worry about becoming unemployed or being transferred against your will?,1
59419,4203,17,Feel there is a good relationship with your colleagues?,3
59448,4204,19,Feel that management trusted the employees to do their work well?,2
59419,4203,16,Feel treated fairly at work?,3
59379,4212,3,Social,2
59379,4212,21,Feel conflicts were resolved in a fair way?,2
59256,4220,2,Interpersonal,3
59224,4224,1,Individual,4
59224,4224,7,Feel scared without any good reason?,0
59373,4235,20,Trust management?,1
59216,4243,2,Interpersonal,5
59216,4243,15,Feel recognized and appreciated at work?,3
59448,4204,20,Trust management?,3
59448,4204,21,Feel conflicts were resolved in a fair way?,0
59448,4204,22,Feel work negatively affected your private life?,0
59137,4207,4,Overall,3
59137,4207,20,Trust management?,2
59361,4208,5,Feel you had nothing to look forward to?,3
59256,4220,14,Find your work meaningful?,2
59256,4220,23,Get exposed to undesired sexual attention or violence?,0
59230,4222,4,Overall,4
59448,4204,23,Get exposed to undesired sexual attention or violence?,0
59419,4203,22,Feel work negatively affected your private life?,0
59137,4207,22,Feel work negatively affected your private life?,1
59361,4208,1,Individual,2
59305,4209,15,Feel recognized and appreciated at work?,1
59379,4212,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59379,4212,22,Feel work negatively affected your private life?,0
59233,4215,20,Trust management?,2
59233,4215,21,Feel conflicts were resolved in a fair way?,2
59233,4215,22,Feel work negatively affected your private life?,1
59392,4219,5,Feel you had nothing to look forward to?,2
59256,4220,16,Feel treated fairly at work?,3
59230,4222,10,Feel intolerant of anything that kept you from what you were doing?,0
59224,4224,8,Feel you were close to panic?,0
59216,4243,1,Individual,4
59129,4241,12,Get behind in your work?,2
59448,4204,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59361,4208,6,Feel that life was meaningless?,1
59305,4209,13,Influence decisions concerning your work?,1
59379,4212,4,Overall,2
59379,4212,6,Feel that life was meaningless?,1
59233,4215,3,Social,4
59233,4215,6,Feel that life was meaningless?,0
59419,4203,10,Feel intolerant of anything that kept you from what you were doing?,1
59137,4207,7,Feel scared without any good reason?,1
59137,4207,12,Get behind in your work?,2
59361,4208,7,Feel scared without any good reason?,1
59361,4208,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59305,4209,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59256,4220,19,Feel that management trusted the employees to do their work well?,3
59230,4222,7,Feel scared without any good reason?,0
59419,4203,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59419,4203,18,Worry about becoming unemployed or being transferred against your will?,0
59361,4208,18,Worry about becoming unemployed or being transferred against your will?,0
59305,4209,9,Found it hard to wind down?,1
59419,4203,12,Get behind in your work?,1
59419,4203,14,Find your work meaningful?,2
59419,4203,15,Feel recognized and appreciated at work?,1
59419,4203,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59137,4207,18,Worry about becoming unemployed or being transferred against your will?,0
59361,4208,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59305,4209,5,Feel you had nothing to look forward to?,3
59379,4212,7,Feel scared without any good reason?,1
59379,4212,23,Get exposed to undesired sexual attention or violence?,0
59233,4215,14,Find your work meaningful?,2
59233,4215,23,Get exposed to undesired sexual attention or violence?,0
59373,4235,10,Feel intolerant of anything that kept you from what you were doing?,2
59129,4241,1,Individual,1
59216,4243,23,Get exposed to undesired sexual attention or violence?,0
59216,4243,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59129,4241,22,Feel work negatively affected your private life?,1
59419,4203,19,Feel that management trusted the employees to do their work well?,3
59419,4203,20,Trust management?,3
59419,4203,21,Feel conflicts were resolved in a fair way?,3
59137,4207,13,Influence decisions concerning your work?,1
59361,4208,3,Social,3
59361,4208,8,Feel you were close to panic?,2
59361,4208,19,Feel that management trusted the employees to do their work well?,3
59305,4209,14,Find your work meaningful?,1
59379,4212,20,Trust management?,2
59256,4220,20,Trust management?,3
59230,4222,21,Feel conflicts were resolved in a fair way?,3
59137,4207,2,Interpersonal,3
59137,4207,3,Social,3
59137,4207,5,Feel you had nothing to look forward to?,1
59137,4207,6,Feel that life was meaningless?,1
59137,4207,10,Feel intolerant of anything that kept you from what you were doing?,1
59137,4207,14,Find your work meaningful?,1
59137,4207,17,Feel there is a good relationship with your colleagues?,2
59137,4207,21,Feel conflicts were resolved in a fair way?,2
59305,4209,3,Social,4
59305,4209,4,Overall,3
59305,4209,6,Feel that life was meaningless?,2
59305,4209,7,Feel scared without any good reason?,1
59305,4209,16,Feel treated fairly at work?,2
59305,4209,17,Feel there is a good relationship with your colleagues?,3
59305,4209,20,Trust management?,2
59305,4209,22,Feel work negatively affected your private life?,0
59379,4212,10,Feel intolerant of anything that kept you from what you were doing?,2
59233,4215,7,Feel scared without any good reason?,0
59233,4215,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59233,4215,18,Worry about becoming unemployed or being transferred against your will?,1
59233,4215,19,Feel that management trusted the employees to do their work well?,2
59392,4219,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59392,4219,22,Feel work negatively affected your private life?,0
59256,4220,6,Feel that life was meaningless?,1
59256,4220,17,Feel there is a good relationship with your colleagues?,3
59256,4220,22,Feel work negatively affected your private life?,0
59230,4222,8,Feel you were close to panic?,0
59230,4222,13,Influence decisions concerning your work?,1
59230,4222,15,Feel recognized and appreciated at work?,3
59224,4224,4,Overall,3
59224,4224,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59373,4235,3,Social,3
59373,4235,9,Found it hard to wind down?,2
59216,4243,12,Get behind in your work?,0
59137,4207,1,Individual,3
59137,4207,8,Feel you were close to panic?,1
59137,4207,15,Feel recognized and appreciated at work?,1
59137,4207,16,Feel treated fairly at work?,2
59137,4207,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59361,4208,2,Interpersonal,2
59361,4208,4,Overall,2
59361,4208,12,Get behind in your work?,2
59361,4208,21,Feel conflicts were resolved in a fair way?,2
59305,4209,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59305,4209,19,Feel that management trusted the employees to do their work well?,2
59305,4209,21,Feel conflicts were resolved in a fair way?,2
59379,4212,2,Interpersonal,3
59379,4212,8,Feel you were close to panic?,1
59379,4212,12,Get behind in your work?,0
59379,4212,13,Influence decisions concerning your work?,0
59379,4212,14,Find your work meaningful?,1
59379,4212,15,Feel recognized and appreciated at work?,1
59379,4212,19,Feel that management trusted the employees to do their work well?,2
59379,4212,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59233,4215,9,Found it hard to wind down?,2
59233,4215,13,Influence decisions concerning your work?,2
59233,4215,17,Feel there is a good relationship with your colleagues?,2
59392,4219,3,Social,3
59392,4219,9,Found it hard to wind down?,3
59392,4219,19,Feel that management trusted the employees to do their work well?,3
59256,4220,3,Social,3
59256,4220,5,Feel you had nothing to look forward to?,2
59256,4220,18,Worry about becoming unemployed or being transferred against your will?,1
59256,4220,21,Feel conflicts were resolved in a fair way?,3
59230,4222,6,Feel that life was meaningless?,0
59230,4222,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59137,4207,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59137,4207,23,Get exposed to undesired sexual attention or violence?,0
59361,4208,9,Found it hard to wind down?,3
59305,4209,2,Interpersonal,4
59361,4208,13,Influence decisions concerning your work?,3
59361,4208,17,Feel there is a good relationship with your colleagues?,3
59305,4209,8,Feel you were close to panic?,0
59305,4209,18,Worry about becoming unemployed or being transferred against your will?,1
59379,4212,5,Feel you had nothing to look forward to?,2
59379,4212,9,Found it hard to wind down?,1
59379,4212,16,Feel treated fairly at work?,2
59379,4212,17,Feel there is a good relationship with your colleagues?,2
59233,4215,1,Individual,4
59233,4215,2,Interpersonal,4
59233,4215,8,Feel you were close to panic?,1
59392,4219,16,Feel treated fairly at work?,3
59392,4219,17,Feel there is a good relationship with your colleagues?,2
59392,4219,23,Get exposed to undesired sexual attention or violence?,0
59256,4220,4,Overall,2
59361,4208,14,Find your work meaningful?,2
59361,4208,20,Trust management?,3
59305,4209,10,Feel intolerant of anything that kept you from what you were doing?,2
59305,4209,23,Get exposed to undesired sexual attention or violence?,0
59379,4212,1,Individual,2
59379,4212,18,Worry about becoming unemployed or being transferred against your will?,1
59233,4215,4,Overall,4
59233,4215,5,Feel you had nothing to look forward to?,1
59233,4215,10,Feel intolerant of anything that kept you from what you were doing?,1
59233,4215,12,Get behind in your work?,1
59233,4215,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59392,4219,1,Individual,2
59392,4219,2,Interpersonal,2
59392,4219,6,Feel that life was meaningless?,1
59392,4219,7,Feel scared without any good reason?,0
59392,4219,8,Feel you were close to panic?,1
59392,4219,12,Get behind in your work?,1
59392,4219,14,Find your work meaningful?,3
59392,4219,15,Feel recognized and appreciated at work?,2
59392,4219,18,Worry about becoming unemployed or being transferred against your will?,1
59392,4219,20,Trust management?,3
59392,4219,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59256,4220,1,Individual,2
59256,4220,7,Feel scared without any good reason?,2
59256,4220,8,Feel you were close to panic?,0
59256,4220,9,Found it hard to wind down?,1
59256,4220,10,Feel intolerant of anything that kept you from what you were doing?,1
59256,4220,11,"Feel guilty about substance use (alcohol, drugs, etc)?",2
59256,4220,12,Get behind in your work?,0
59256,4220,13,Influence decisions concerning your work?,1
59256,4220,15,Feel recognized and appreciated at work?,2
59256,4220,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59230,4222,1,Individual,4
59230,4222,2,Interpersonal,4
59230,4222,3,Social,4
59230,4222,5,Feel you had nothing to look forward to?,0
59230,4222,9,Found it hard to wind down?,1
59230,4222,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59230,4222,12,Get behind in your work?,1
59230,4222,14,Find your work meaningful?,3
59230,4222,16,Feel treated fairly at work?,3
59230,4222,18,Worry about becoming unemployed or being transferred against your will?,0
59230,4222,19,Feel that management trusted the employees to do their work well?,3
59230,4222,20,Trust management?,3
59230,4222,23,Get exposed to undesired sexual attention or violence?,0
59224,4224,2,Interpersonal,4
59224,4224,3,Social,4
59224,4224,6,Feel that life was meaningless?,0
59224,4224,10,Feel intolerant of anything that kept you from what you were doing?,1
59224,4224,12,Get behind in your work?,1
59224,4224,13,Influence decisions concerning your work?,1
59224,4224,14,Find your work meaningful?,2
59224,4224,15,Feel recognized and appreciated at work?,3
59224,4224,16,Feel treated fairly at work?,2
59224,4224,17,Feel there is a good relationship with your colleagues?,2
59224,4224,18,Worry about becoming unemployed or being transferred against your will?,1
59224,4224,19,Feel that management trusted the employees to do their work well?,1
59224,4224,20,Trust management?,1
59224,4224,21,Feel conflicts were resolved in a fair way?,3
59224,4224,22,Feel work negatively affected your private life?,1
59224,4224,23,Get exposed to undesired sexual attention or violence?,0
59224,4224,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59373,4235,17,Feel there is a good relationship with your colleagues?,1
59129,4241,5,Feel you had nothing to look forward to?,2
59373,4235,8,Feel you were close to panic?,2
59373,4235,11,"Feel guilty about substance use (alcohol, drugs, etc)?",2
59373,4235,14,Find your work meaningful?,1
59373,4235,15,Feel recognized and appreciated at work?,2
59129,4241,3,Social,2
59216,4243,4,Overall,4
59129,4241,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59373,4235,21,Feel conflicts were resolved in a fair way?,1
59129,4241,8,Feel you were close to panic?,3
59129,4241,7,Feel scared without any good reason?,3
59129,4241,4,Overall,1
59216,4243,5,Feel you had nothing to look forward to?,0
59129,4241,14,Find your work meaningful?,1
59129,4241,18,Worry about becoming unemployed or being transferred against your will?,2
59129,4241,10,Feel intolerant of anything that kept you from what you were doing?,1
59373,4235,2,Interpersonal,4
59373,4235,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59129,4241,6,Feel that life was meaningless?,2
59373,4235,6,Feel that life was meaningless?,1
59373,4235,13,Influence decisions concerning your work?,1
59373,4235,16,Feel treated fairly at work?,2
59373,4235,5,Feel you had nothing to look forward to?,1
59373,4235,7,Feel scared without any good reason?,1
59373,4235,19,Feel that management trusted the employees to do their work well?,2
59216,4243,13,Influence decisions concerning your work?,2
59373,4235,12,Get behind in your work?,1
59373,4235,18,Worry about becoming unemployed or being transferred against your will?,1
59129,4241,2,Interpersonal,2
59373,4235,22,Feel work negatively affected your private life?,2
59216,4243,3,Social,4
59373,4235,23,Get exposed to undesired sexual attention or violence?,0
59216,4243,6,Feel that life was meaningless?,0
59216,4243,7,Feel scared without any good reason?,1
59216,4243,8,Feel you were close to panic?,0
59216,4243,9,Found it hard to wind down?,3
59216,4243,10,Feel intolerant of anything that kept you from what you were doing?,1
59129,4241,13,Influence decisions concerning your work?,2
59216,4243,14,Find your work meaningful?,0
59129,4241,15,Feel recognized and appreciated at work?,0
59129,4241,16,Feel treated fairly at work?,2
59216,4243,16,Feel treated fairly at work?,3
59129,4241,17,Feel there is a good relationship with your colleagues?,2
59216,4243,19,Feel that management trusted the employees to do their work well?,2
59216,4243,20,Trust management?,2
59216,4243,21,Feel conflicts were resolved in a fair way?,2
59216,4243,22,Feel work negatively affected your private life?,0
59129,4241,19,Feel that management trusted the employees to do their work well?,2
59129,4241,20,Trust management?,2
59129,4241,21,Feel conflicts were resolved in a fair way?,3
59129,4241,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59516,4296,3,Social,5
59264,4297,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59516,4296,12,Get behind in your work?,1
59516,4296,15,Feel recognized and appreciated at work?,2
59264,4297,8,Feel you were close to panic?,0
59516,4296,1,Individual,5
59264,4297,12,Get behind in your work?,0
59264,4297,15,Feel recognized and appreciated at work?,3
59264,4297,18,Worry about becoming unemployed or being transferred against your will?,0
59516,4296,22,Feel work negatively affected your private life?,0
59264,4297,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59264,4297,22,Feel work negatively affected your private life?,0
59163,4302,17,Feel there is a good relationship with your colleagues?,1
59264,4297,14,Find your work meaningful?,3
59163,4302,6,Feel that life was meaningless?,0
59163,4302,18,Worry about becoming unemployed or being transferred against your will?,1
59516,4296,13,Influence decisions concerning your work?,2
59264,4297,5,Feel you had nothing to look forward to?,0
59163,4302,1,Individual,4
59516,4296,17,Feel there is a good relationship with your colleagues?,3
59516,4296,2,Interpersonal,5
59516,4296,4,Overall,5
59516,4296,5,Feel you had nothing to look forward to?,0
59516,4296,6,Feel that life was meaningless?,0
59516,4296,7,Feel scared without any good reason?,1
59516,4296,8,Feel you were close to panic?,0
59516,4296,9,Found it hard to wind down?,0
59516,4296,10,Feel intolerant of anything that kept you from what you were doing?,1
59516,4296,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59516,4296,14,Find your work meaningful?,2
59516,4296,16,Feel treated fairly at work?,3
59516,4296,18,Worry about becoming unemployed or being transferred against your will?,0
59516,4296,19,Feel that management trusted the employees to do their work well?,3
59516,4296,20,Trust management?,2
59516,4296,21,Feel conflicts were resolved in a fair way?,3
59516,4296,23,Get exposed to undesired sexual attention or violence?,0
59516,4296,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59264,4297,1,Individual,5
59264,4297,2,Interpersonal,5
59264,4297,3,Social,5
59264,4297,4,Overall,5
59264,4297,6,Feel that life was meaningless?,0
59264,4297,7,Feel scared without any good reason?,0
59264,4297,9,Found it hard to wind down?,0
59264,4297,10,Feel intolerant of anything that kept you from what you were doing?,0
59264,4297,13,Influence decisions concerning your work?,3
59264,4297,16,Feel treated fairly at work?,3
59264,4297,17,Feel there is a good relationship with your colleagues?,3
59264,4297,19,Feel that management trusted the employees to do their work well?,3
59264,4297,20,Trust management?,3
59163,4302,8,Feel you were close to panic?,1
59264,4297,21,Feel conflicts were resolved in a fair way?,3
59264,4297,23,Get exposed to undesired sexual attention or violence?,0
59163,4302,14,Find your work meaningful?,0
59163,4302,23,Get exposed to undesired sexual attention or violence?,0
59163,4302,2,Interpersonal,4
59163,4302,9,Found it hard to wind down?,2
59163,4302,22,Feel work negatively affected your private life?,2
59163,4302,10,Feel intolerant of anything that kept you from what you were doing?,1
59163,4302,21,Feel conflicts were resolved in a fair way?,1
59163,4302,20,Trust management?,1
59163,4302,19,Feel that management trusted the employees to do their work well?,1
59163,4302,3,Social,3
59163,4302,4,Overall,3
59163,4302,5,Feel you had nothing to look forward to?,1
59163,4302,7,Feel scared without any good reason?,0
59163,4302,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59163,4302,12,Get behind in your work?,2
59163,4302,13,Influence decisions concerning your work?,1
59163,4302,15,Feel recognized and appreciated at work?,1
59163,4302,16,Feel treated fairly at work?,1
59163,4302,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59490,4349,1,Individual,4
59490,4349,2,Interpersonal,5
59490,4349,3,Social,3
59490,4349,4,Overall,4
59490,4349,5,Feel you had nothing to look forward to?,1
59490,4349,6,Feel that life was meaningless?,1
59490,4349,7,Feel scared without any good reason?,0
59490,4349,8,Feel you were close to panic?,1
59490,4349,9,Found it hard to wind down?,1
59490,4349,10,Feel intolerant of anything that kept you from what you were doing?,1
59490,4349,15,Feel recognized and appreciated at work?,1
59490,4349,23,Get exposed to undesired sexual attention or violence?,0
59490,4349,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59490,4349,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59490,4349,19,Feel that management trusted the employees to do their work well?,3
59490,4349,20,Trust management?,1
59490,4349,22,Feel work negatively affected your private life?,2
59490,4349,12,Get behind in your work?,1
59490,4349,13,Influence decisions concerning your work?,1
59490,4349,14,Find your work meaningful?,1
59490,4349,17,Feel there is a good relationship with your colleagues?,2
59490,4349,21,Feel conflicts were resolved in a fair way?,1
59490,4349,16,Feel treated fairly at work?,2
59490,4349,18,Worry about becoming unemployed or being transferred against your will?,0
59405,4358,1,Individual,4
59405,4358,2,Interpersonal,4
59405,4358,3,Social,4
59405,4358,4,Overall,5
59405,4358,5,Feel you had nothing to look forward to?,1
59405,4358,6,Feel that life was meaningless?,0
59405,4358,7,Feel scared without any good reason?,0
59405,4358,8,Feel you were close to panic?,0
59405,4358,9,Found it hard to wind down?,0
59405,4358,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59405,4358,10,Feel intolerant of anything that kept you from what you were doing?,1
59405,4358,15,Feel recognized and appreciated at work?,1
59405,4358,12,Get behind in your work?,0
59405,4358,13,Influence decisions concerning your work?,3
59405,4358,17,Feel there is a good relationship with your colleagues?,3
59405,4358,23,Get exposed to undesired sexual attention or violence?,0
59405,4358,14,Find your work meaningful?,2
59405,4358,16,Feel treated fairly at work?,3
59405,4358,18,Worry about becoming unemployed or being transferred against your will?,1
59405,4358,19,Feel that management trusted the employees to do their work well?,3
59405,4358,20,Trust management?,3
59405,4358,21,Feel conflicts were resolved in a fair way?,3
59405,4358,22,Feel work negatively affected your private life?,1
59405,4358,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59474,4383,1,Individual,4
59474,4383,2,Interpersonal,4
59474,4383,3,Social,5
59474,4383,4,Overall,4
59474,4383,5,Feel you had nothing to look forward to?,1
59474,4383,6,Feel that life was meaningless?,0
59474,4383,7,Feel scared without any good reason?,0
59474,4383,8,Feel you were close to panic?,0
59474,4383,9,Found it hard to wind down?,1
59474,4383,10,Feel intolerant of anything that kept you from what you were doing?,1
59474,4383,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59474,4383,12,Get behind in your work?,0
59474,4383,13,Influence decisions concerning your work?,3
59474,4383,14,Find your work meaningful?,3
59474,4383,15,Feel recognized and appreciated at work?,3
59474,4383,16,Feel treated fairly at work?,3
59474,4383,17,Feel there is a good relationship with your colleagues?,3
59474,4383,18,Worry about becoming unemployed or being transferred against your will?,0
59474,4383,19,Feel that management trusted the employees to do their work well?,3
59474,4383,20,Trust management?,3
59474,4383,21,Feel conflicts were resolved in a fair way?,3
59474,4383,22,Feel work negatively affected your private life?,0
59474,4383,23,Get exposed to undesired sexual attention or violence?,0
59474,4383,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59183,4390,1,Individual,4
59183,4390,2,Interpersonal,4
59183,4390,3,Social,4
59183,4390,4,Overall,3
59183,4390,5,Feel you had nothing to look forward to?,1
59183,4390,6,Feel that life was meaningless?,1
59183,4390,7,Feel scared without any good reason?,1
59183,4390,8,Feel you were close to panic?,1
59183,4390,9,Found it hard to wind down?,1
59183,4390,10,Feel intolerant of anything that kept you from what you were doing?,1
59183,4390,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59183,4390,12,Get behind in your work?,1
59183,4390,13,Influence decisions concerning your work?,2
59183,4390,14,Find your work meaningful?,2
59183,4390,15,Feel recognized and appreciated at work?,2
59183,4390,16,Feel treated fairly at work?,2
59183,4390,17,Feel there is a good relationship with your colleagues?,3
59183,4390,18,Worry about becoming unemployed or being transferred against your will?,0
59183,4390,19,Feel that management trusted the employees to do their work well?,3
59183,4390,20,Trust management?,3
59383,4397,8,Feel you were close to panic?,0
59311,4399,22,Feel work negatively affected your private life?,2
59321,4400,4,Overall,5
59321,4400,20,Trust management?,3
59183,4390,21,Feel conflicts were resolved in a fair way?,3
59183,4390,22,Feel work negatively affected your private life?,1
59183,4390,23,Get exposed to undesired sexual attention or violence?,0
59269,4391,4,Overall,4
59269,4391,7,Feel scared without any good reason?,0
59269,4391,12,Get behind in your work?,0
59269,4391,15,Feel recognized and appreciated at work?,3
59269,4391,22,Feel work negatively affected your private life?,0
59226,4394,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59226,4394,12,Get behind in your work?,2
59383,4397,16,Feel treated fairly at work?,1
59370,4398,10,Feel intolerant of anything that kept you from what you were doing?,0
59311,4399,13,Influence decisions concerning your work?,2
59321,4400,5,Feel you had nothing to look forward to?,0
59183,4390,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59269,4391,6,Feel that life was meaningless?,0
59269,4391,21,Feel conflicts were resolved in a fair way?,2
59226,4394,7,Feel scared without any good reason?,1
59269,4391,1,Individual,4
59226,4394,13,Influence decisions concerning your work?,1
59269,4391,2,Interpersonal,4
59226,4394,17,Feel there is a good relationship with your colleagues?,3
59269,4391,3,Social,3
59269,4391,17,Feel there is a good relationship with your colleagues?,2
59226,4394,15,Feel recognized and appreciated at work?,2
59226,4394,21,Feel conflicts were resolved in a fair way?,1
59177,4395,3,Social,2
59196,4396,1,Individual,3
59196,4396,4,Overall,3
59196,4396,6,Feel that life was meaningless?,0
59383,4397,9,Found it hard to wind down?,0
59383,4397,17,Feel there is a good relationship with your colleagues?,2
59370,4398,17,Feel there is a good relationship with your colleagues?,3
59311,4399,15,Feel recognized and appreciated at work?,2
59311,4399,17,Feel there is a good relationship with your colleagues?,2
59321,4400,1,Individual,5
59321,4400,8,Feel you were close to panic?,0
59321,4400,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59321,4400,12,Get behind in your work?,0
59269,4391,5,Feel you had nothing to look forward to?,0
59269,4391,19,Feel that management trusted the employees to do their work well?,1
59196,4396,8,Feel you were close to panic?,1
59383,4397,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,1
59370,4398,7,Feel scared without any good reason?,0
59311,4399,8,Feel you were close to panic?,1
59321,4400,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59427,4402,21,Feel conflicts were resolved in a fair way?,3
59269,4391,8,Feel you were close to panic?,0
59269,4391,9,Found it hard to wind down?,0
59269,4391,16,Feel treated fairly at work?,2
59269,4391,18,Worry about becoming unemployed or being transferred against your will?,1
59226,4394,9,Found it hard to wind down?,1
59226,4394,16,Feel treated fairly at work?,2
59177,4395,10,Feel intolerant of anything that kept you from what you were doing?,2
59177,4395,21,Feel conflicts were resolved in a fair way?,2
59383,4397,1,Individual,5
59196,4396,5,Feel you had nothing to look forward to?,2
59383,4397,5,Feel you had nothing to look forward to?,3
59196,4396,19,Feel that management trusted the employees to do their work well?,3
59370,4398,15,Feel recognized and appreciated at work?,3
59311,4399,6,Feel that life was meaningless?,0
59311,4399,16,Feel treated fairly at work?,2
59321,4400,7,Feel scared without any good reason?,0
59321,4400,10,Feel intolerant of anything that kept you from what you were doing?,0
59269,4391,10,Feel intolerant of anything that kept you from what you were doing?,0
59269,4391,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59269,4391,13,Influence decisions concerning your work?,2
59269,4391,14,Find your work meaningful?,2
59269,4391,23,Get exposed to undesired sexual attention or violence?,0
59269,4391,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59177,4395,7,Feel scared without any good reason?,0
59177,4395,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59196,4396,2,Interpersonal,4
59383,4397,4,Overall,5
59196,4396,13,Influence decisions concerning your work?,2
59196,4396,24,Were bullied (repeated exposure to unpleasant or degrading treatment)?,0
59370,4398,18,Worry about becoming unemployed or being transferred against your will?,0
59311,4399,1,Individual,2
59311,4399,4,Overall,2
59427,4402,15,Feel recognized and appreciated at work?,1
59266,4406,14,Find your work meaningful?,2
59269,4391,20,Trust management?,1
59226,4394,3,Social,3
59226,4394,5,Feel you had nothing to look forward to?,0
